1: 790.429688, 790.429688 avg, 0.000000 rate, 3.247841 seconds, 64 images
2: 782.654480, 789.652161 avg, 0.000000 rate, 3.093821 seconds, 128 images
3: 791.417114, 789.828674 avg, 0.000000 rate, 3.384654 seconds, 192 images
4: 797.076538, 790.553467 avg, 0.000000 rate, 3.586753 seconds, 256 images
5: 787.998718, 790.297974 avg, 0.000000 rate, 3.284358 seconds, 320 images
6: 791.838257, 790.452026 avg, 0.000000 rate, 3.453964 seconds, 384 images
7: 793.710693, 790.777893 avg, 0.000000 rate, 3.397523 seconds, 448 images
8: 789.470032, 790.647095 avg, 0.000000 rate, 3.418903 seconds, 512 images
9: 787.748169, 790.357178 avg, 0.000000 rate, 3.406076 seconds, 576 images
10: 794.650513, 790.786499 avg, 0.000000 rate, 3.558090 seconds, 640 images
11: 1567.857178, 868.493591 avg, 0.000000 rate, 5.931206 seconds, 704 images
12: 1564.442383, 938.088501 avg, 0.000000 rate, 5.762590 seconds, 768 images
13: 1558.620117, 1000.141663 avg, 0.000000 rate, 5.517461 seconds, 832 images
14: 1560.482056, 1056.175659 avg, 0.000000 rate, 6.076646 seconds, 896 images
15: 1562.502197, 1106.808350 avg, 0.000000 rate, 5.976480 seconds, 960 images
16: 1554.645630, 1151.592041 avg, 0.000000 rate, 5.952767 seconds, 1024 images
17: 1556.545166, 1192.087402 avg, 0.000000 rate, 6.158953 seconds, 1088 images
18: 1563.518799, 1229.230591 avg, 0.000000 rate, 5.974114 seconds, 1152 images
19: 1572.826050, 1263.590088 avg, 0.000000 rate, 6.326302 seconds, 1216 images
20: 1563.653564, 1293.596436 avg, 0.000000 rate, 6.097034 seconds, 1280 images
21: 1064.094727, 1270.646240 avg, 0.000000 rate, 3.832249 seconds, 1344 images
22: 1066.838745, 1250.265503 avg, 0.000000 rate, 3.760989 seconds, 1408 images
23: 1072.857422, 1232.524658 avg, 0.000000 rate, 4.209491 seconds, 1472 images
24: 1065.654785, 1215.837646 avg, 0.000000 rate, 4.152931 seconds, 1536 images
25: 1068.961426, 1201.150024 avg, 0.000000 rate, 4.017519 seconds, 1600 images
26: 1075.859131, 1188.620972 avg, 0.000000 rate, 4.396853 seconds, 1664 images
27: 1059.247559, 1175.683594 avg, 0.000000 rate, 4.224552 seconds, 1728 images
28: 1066.717407, 1164.786987 avg, 0.000000 rate, 4.225555 seconds, 1792 images
29: 1069.037231, 1155.212036 avg, 0.000000 rate, 4.049408 seconds, 1856 images
30: 1061.458984, 1145.836670 avg, 0.000000 rate, 4.117759 seconds, 1920 images
31: 792.315430, 1110.484497 avg, 0.000000 rate, 3.727570 seconds, 1984 images
32: 806.311890, 1080.067261 avg, 0.000000 rate, 3.436975 seconds, 2048 images
33: 784.110657, 1050.471558 avg, 0.000000 rate, 3.381900 seconds, 2112 images
34: 784.534729, 1023.877869 avg, 0.000000 rate, 3.412332 seconds, 2176 images
35: 789.453003, 1000.435364 avg, 0.000000 rate, 3.439447 seconds, 2240 images
36: 785.944031, 978.986206 avg, 0.000000 rate, 3.464184 seconds, 2304 images
37: 786.019043, 959.689514 avg, 0.000000 rate, 3.179149 seconds, 2368 images
38: 786.005676, 942.321106 avg, 0.000000 rate, 3.449965 seconds, 2432 images
39: 786.677368, 926.756714 avg, 0.000000 rate, 3.371693 seconds, 2496 images
40: 784.994080, 912.580444 avg, 0.000000 rate, 3.255102 seconds, 2560 images
41: 670.304749, 888.352905 avg, 0.000000 rate, 3.148164 seconds, 2624 images
42: 664.163635, 865.933960 avg, 0.000000 rate, 3.395825 seconds, 2688 images
43: 665.402771, 845.880859 avg, 0.000000 rate, 3.126910 seconds, 2752 images
44: 666.596436, 827.952393 avg, 0.000000 rate, 2.989890 seconds, 2816 images
45: 658.675415, 811.024719 avg, 0.000000 rate, 3.219413 seconds, 2880 images
46: 664.555176, 796.377747 avg, 0.000000 rate, 3.401243 seconds, 2944 images
47: 658.089661, 782.548950 avg, 0.000000 rate, 3.040482 seconds, 3008 images
48: 663.622742, 770.656311 avg, 0.000000 rate, 3.218349 seconds, 3072 images
49: 663.580811, 759.948792 avg, 0.000000 rate, 3.066142 seconds, 3136 images
50: 662.283813, 750.182312 avg, 0.000000 rate, 3.113541 seconds, 3200 images
51: 1533.771484, 828.541260 avg, 0.000000 rate, 6.102472 seconds, 3264 images
52: 1531.972534, 898.884399 avg, 0.000000 rate, 5.807965 seconds, 3328 images
53: 1527.190063, 961.714966 avg, 0.000000 rate, 6.079820 seconds, 3392 images
54: 1528.342529, 1018.377747 avg, 0.000000 rate, 6.112559 seconds, 3456 images
55: 1522.507812, 1068.790771 avg, 0.000000 rate, 6.076819 seconds, 3520 images
56: 1514.853149, 1113.396973 avg, 0.000000 rate, 6.074103 seconds, 3584 images
57: 1513.154419, 1153.372681 avg, 0.000000 rate, 6.204692 seconds, 3648 images
58: 1499.301270, 1187.965576 avg, 0.000000 rate, 5.708115 seconds, 3712 images
59: 1497.955566, 1218.964600 avg, 0.000000 rate, 6.195377 seconds, 3776 images
60: 1496.624390, 1246.730591 avg, 0.000000 rate, 5.997430 seconds, 3840 images
61: 532.173523, 1175.274902 avg, 0.000000 rate, 2.747874 seconds, 3904 images
62: 527.425171, 1110.489990 avg, 0.000000 rate, 2.745184 seconds, 3968 images
63: 523.336792, 1051.774658 avg, 0.000000 rate, 2.773446 seconds, 4032 images
64: 529.830200, 999.580200 avg, 0.000000 rate, 3.153771 seconds, 4096 images
65: 526.898438, 952.312012 avg, 0.000000 rate, 2.705522 seconds, 4160 images
66: 518.404785, 908.921265 avg, 0.000000 rate, 3.004192 seconds, 4224 images
67: 516.176697, 869.646790 avg, 0.000000 rate, 3.151384 seconds, 4288 images
68: 508.876068, 833.569702 avg, 0.000000 rate, 2.742790 seconds, 4352 images
69: 505.908051, 800.803528 avg, 0.000000 rate, 2.586799 seconds, 4416 images
70: 502.379211, 770.961121 avg, 0.000000 rate, 2.757659 seconds, 4480 images
71: 1103.551514, 804.220154 avg, 0.000000 rate, 4.755015 seconds, 4544 images
72: 1091.307373, 832.928894 avg, 0.000000 rate, 4.936804 seconds, 4608 images
73: 1081.022827, 857.738281 avg, 0.000000 rate, 4.759179 seconds, 4672 images
74: 1070.406738, 879.005127 avg, 0.000000 rate, 4.509933 seconds, 4736 images
75: 1069.205688, 898.025208 avg, 0.000000 rate, 4.707934 seconds, 4800 images
76: 1056.702637, 913.892944 avg, 0.000000 rate, 4.771624 seconds, 4864 images
77: 1043.888550, 926.892517 avg, 0.000000 rate, 4.779046 seconds, 4928 images
78: 1029.713989, 937.174683 avg, 0.000000 rate, 4.733735 seconds, 4992 images
79: 1019.007812, 945.357971 avg, 0.000000 rate, 4.568769 seconds, 5056 images
80: 1011.391174, 951.961304 avg, 0.000000 rate, 4.660626 seconds, 5120 images
81: 454.244141, 902.189575 avg, 0.000000 rate, 2.599876 seconds, 5184 images
82: 449.559052, 856.926514 avg, 0.000000 rate, 2.878713 seconds, 5248 images
83: 446.863495, 815.920227 avg, 0.000000 rate, 2.876688 seconds, 5312 images
84: 431.762634, 777.504456 avg, 0.000000 rate, 2.606481 seconds, 5376 images
85: 436.204468, 743.374451 avg, 0.000000 rate, 2.636417 seconds, 5440 images
86: 421.926544, 711.229675 avg, 0.000000 rate, 2.892217 seconds, 5504 images
87: 425.920929, 682.698792 avg, 0.000000 rate, 2.879047 seconds, 5568 images
88: 417.325165, 656.161438 avg, 0.000000 rate, 3.010870 seconds, 5632 images
89: 405.126892, 631.057983 avg, 0.000000 rate, 3.256230 seconds, 5696 images
90: 402.874420, 608.239624 avg, 0.000000 rate, 2.734138 seconds, 5760 images
91: 877.099060, 635.125549 avg, 0.000000 rate, 5.008910 seconds, 5824 images
92: 848.513916, 656.464355 avg, 0.000000 rate, 4.739526 seconds, 5888 images
93: 833.010681, 674.119019 avg, 0.000000 rate, 4.565120 seconds, 5952 images
94: 815.475403, 688.254639 avg, 0.000000 rate, 4.733334 seconds, 6016 images
95: 798.021423, 699.231323 avg, 0.000000 rate, 4.872246 seconds, 6080 images
96: 783.114197, 707.619629 avg, 0.000000 rate, 4.708975 seconds, 6144 images
97: 766.176208, 713.475281 avg, 0.000000 rate, 4.675659 seconds, 6208 images
98: 747.299255, 716.857666 avg, 0.000000 rate, 4.648419 seconds, 6272 images
99: 721.216919, 717.293579 avg, 0.000000 rate, 4.749983 seconds, 6336 images
100: 696.195618, 715.183777 avg, 0.000000 rate, 4.794876 seconds, 6400 images
101: 309.729309, 674.638306 avg, 0.000000 rate, 2.509939 seconds, 6464 images
102: 315.189941, 638.693481 avg, 0.000000 rate, 2.893466 seconds, 6528 images
103: 295.012146, 604.325317 avg, 0.000000 rate, 2.619061 seconds, 6592 images
104: 292.489624, 573.141724 avg, 0.000000 rate, 2.725618 seconds, 6656 images
105: 276.373779, 543.464905 avg, 0.000000 rate, 2.827667 seconds, 6720 images
106: 270.934937, 516.211914 avg, 0.000000 rate, 3.059166 seconds, 6784 images
107: 265.176971, 491.108429 avg, 0.000000 rate, 2.590492 seconds, 6848 images
108: 254.876511, 467.485229 avg, 0.000000 rate, 2.647781 seconds, 6912 images
109: 255.917328, 446.328430 avg, 0.000000 rate, 2.861825 seconds, 6976 images
110: 248.451202, 426.540710 avg, 0.000000 rate, 3.155553 seconds, 7040 images
111: 336.695801, 417.556213 avg, 0.000000 rate, 3.358260 seconds, 7104 images
112: 316.409302, 407.441528 avg, 0.000000 rate, 3.365531 seconds, 7168 images
113: 312.360931, 397.933472 avg, 0.000000 rate, 3.264503 seconds, 7232 images
114: 298.500671, 387.990204 avg, 0.000000 rate, 3.424137 seconds, 7296 images
115: 290.450439, 378.236237 avg, 0.000000 rate, 3.412772 seconds, 7360 images
116: 288.698853, 369.282501 avg, 0.000000 rate, 3.655936 seconds, 7424 images
117: 281.858887, 360.540131 avg, 0.000000 rate, 3.651386 seconds, 7488 images
118: 268.013275, 351.287445 avg, 0.000000 rate, 3.657896 seconds, 7552 images
119: 255.541000, 341.712799 avg, 0.000000 rate, 3.283023 seconds, 7616 images
120: 248.354507, 332.376984 avg, 0.000000 rate, 3.419805 seconds, 7680 images
121: 409.381958, 340.077484 avg, 0.000000 rate, 5.178417 seconds, 7744 images
122: 391.889343, 345.258667 avg, 0.000000 rate, 5.198630 seconds, 7808 images
123: 374.066193, 348.139404 avg, 0.000000 rate, 5.211492 seconds, 7872 images
124: 348.905212, 348.215973 avg, 0.000000 rate, 4.868205 seconds, 7936 images
125: 336.378174, 347.032196 avg, 0.000000 rate, 5.170887 seconds, 8000 images
126: 318.412354, 344.170227 avg, 0.000000 rate, 5.252248 seconds, 8064 images
127: 311.905701, 340.943787 avg, 0.000000 rate, 5.099335 seconds, 8128 images
128: 289.262146, 335.775635 avg, 0.000000 rate, 5.164988 seconds, 8192 images
129: 276.083527, 329.806427 avg, 0.000000 rate, 5.357236 seconds, 8256 images
130: 261.610962, 322.986877 avg, 0.000000 rate, 5.261668 seconds, 8320 images
131: 240.084122, 314.696594 avg, 0.000000 rate, 4.991933 seconds, 8384 images
132: 234.343582, 306.661285 avg, 0.000000 rate, 5.132703 seconds, 8448 images
133: 213.897568, 297.384918 avg, 0.000000 rate, 5.237635 seconds, 8512 images
134: 200.693527, 287.715790 avg, 0.000000 rate, 4.946134 seconds, 8576 images
135: 190.753571, 278.019562 avg, 0.000000 rate, 5.149011 seconds, 8640 images
136: 178.321548, 268.049774 avg, 0.000000 rate, 5.297862 seconds, 8704 images
137: 170.490936, 258.293884 avg, 0.000000 rate, 5.342402 seconds, 8768 images
138: 160.120331, 248.476532 avg, 0.000000 rate, 5.449576 seconds, 8832 images
139: 157.465149, 239.375397 avg, 0.000000 rate, 5.338498 seconds, 8896 images
140: 140.887375, 229.526596 avg, 0.000000 rate, 5.276238 seconds, 8960 images
141: 100.286896, 216.602631 avg, 0.000000 rate, 3.914083 seconds, 9024 images
142: 88.131897, 203.755554 avg, 0.000000 rate, 4.100628 seconds, 9088 images
143: 89.977158, 192.377716 avg, 0.000000 rate, 3.921090 seconds, 9152 images
144: 80.058548, 181.145798 avg, 0.000000 rate, 3.904384 seconds, 9216 images
145: 85.803726, 171.611588 avg, 0.000000 rate, 3.915276 seconds, 9280 images
146: 74.963364, 161.946762 avg, 0.000000 rate, 3.829305 seconds, 9344 images
147: 66.372887, 152.389374 avg, 0.000000 rate, 3.980929 seconds, 9408 images
148: 66.918472, 143.842285 avg, 0.000000 rate, 3.795891 seconds, 9472 images
149: 63.029366, 135.760986 avg, 0.000000 rate, 3.973642 seconds, 9536 images
150: 61.296421, 128.314529 avg, 0.000001 rate, 3.924144 seconds, 9600 images
151: 62.282360, 121.711311 avg, 0.000001 rate, 3.864306 seconds, 9664 images
152: 52.230591, 114.763237 avg, 0.000001 rate, 3.834701 seconds, 9728 images
153: 48.347809, 108.121696 avg, 0.000001 rate, 3.783799 seconds, 9792 images
154: 51.624779, 102.472008 avg, 0.000001 rate, 3.794444 seconds, 9856 images
155: 53.441635, 97.568970 avg, 0.000001 rate, 3.932757 seconds, 9920 images
156: 44.499573, 92.262032 avg, 0.000001 rate, 3.818181 seconds, 9984 images
157: 46.222649, 87.658096 avg, 0.000001 rate, 3.867014 seconds, 10048 images
158: 42.402027, 83.132492 avg, 0.000001 rate, 4.095808 seconds, 10112 images
159: 45.494392, 79.368683 avg, 0.000001 rate, 3.903300 seconds, 10176 images
160: 44.266575, 75.858475 avg, 0.000001 rate, 3.912717 seconds, 10240 images
161: 46.175621, 72.890190 avg, 0.000001 rate, 4.712067 seconds, 10304 images
162: 49.594814, 70.560654 avg, 0.000001 rate, 4.553872 seconds, 10368 images
163: 44.120304, 67.916618 avg, 0.000001 rate, 4.764977 seconds, 10432 images
164: 43.743553, 65.499313 avg, 0.000001 rate, 4.518707 seconds, 10496 images
165: 36.965714, 62.645954 avg, 0.000001 rate, 4.755287 seconds, 10560 images
166: 44.435257, 60.824883 avg, 0.000001 rate, 4.864389 seconds, 10624 images
167: 41.032291, 58.845623 avg, 0.000001 rate, 4.687823 seconds, 10688 images
168: 40.118618, 56.972923 avg, 0.000001 rate, 4.623537 seconds, 10752 images
169: 37.219994, 54.997631 avg, 0.000001 rate, 4.661103 seconds, 10816 images
170: 43.367886, 53.834656 avg, 0.000001 rate, 5.175549 seconds, 10880 images
171: 33.564880, 51.807678 avg, 0.000001 rate, 4.274271 seconds, 10944 images
172: 40.596245, 50.686535 avg, 0.000001 rate, 4.281213 seconds, 11008 images
173: 30.905453, 48.708427 avg, 0.000001 rate, 4.112224 seconds, 11072 images
174: 29.900915, 46.827675 avg, 0.000001 rate, 3.966784 seconds, 11136 images
175: 30.322945, 45.177200 avg, 0.000001 rate, 4.371747 seconds, 11200 images
176: 32.023979, 43.861877 avg, 0.000001 rate, 4.149347 seconds, 11264 images
177: 32.769814, 42.752670 avg, 0.000001 rate, 4.055023 seconds, 11328 images
178: 26.169003, 41.094303 avg, 0.000001 rate, 3.906229 seconds, 11392 images
179: 36.758919, 40.660767 avg, 0.000001 rate, 4.465853 seconds, 11456 images
180: 33.345360, 39.929226 avg, 0.000001 rate, 4.146844 seconds, 11520 images
181: 32.765820, 39.212887 avg, 0.000001 rate, 5.864658 seconds, 11584 images
182: 32.462265, 38.537827 avg, 0.000001 rate, 6.095469 seconds, 11648 images
183: 30.777290, 37.761772 avg, 0.000001 rate, 6.014290 seconds, 11712 images
184: 28.807571, 36.866352 avg, 0.000001 rate, 6.071105 seconds, 11776 images
185: 25.307898, 35.710506 avg, 0.000001 rate, 6.016711 seconds, 11840 images
186: 31.843870, 35.323841 avg, 0.000001 rate, 6.161406 seconds, 11904 images
187: 27.922396, 34.583698 avg, 0.000001 rate, 5.759333 seconds, 11968 images
188: 25.945093, 33.719837 avg, 0.000001 rate, 5.932470 seconds, 12032 images
189: 29.475328, 33.295387 avg, 0.000001 rate, 5.859888 seconds, 12096 images
190: 27.160019, 32.681850 avg, 0.000001 rate, 5.938396 seconds, 12160 images
191: 23.183231, 31.731989 avg, 0.000001 rate, 2.801839 seconds, 12224 images
192: 20.513865, 30.610176 avg, 0.000001 rate, 2.656343 seconds, 12288 images
193: 17.258402, 29.275000 avg, 0.000001 rate, 2.925522 seconds, 12352 images
194: 23.147917, 28.662291 avg, 0.000001 rate, 2.547560 seconds, 12416 images
195: 21.763229, 27.972385 avg, 0.000001 rate, 2.930994 seconds, 12480 images
196: 21.368036, 27.311951 avg, 0.000001 rate, 2.825151 seconds, 12544 images
197: 19.222910, 26.503046 avg, 0.000002 rate, 2.661575 seconds, 12608 images
198: 26.299511, 26.482693 avg, 0.000002 rate, 2.928068 seconds, 12672 images
199: 18.405640, 25.674988 avg, 0.000002 rate, 2.687549 seconds, 12736 images
200: 20.846563, 25.192146 avg, 0.000002 rate, 2.822553 seconds, 12800 images
201: 24.896570, 25.162588 avg, 0.000002 rate, 5.895349 seconds, 12864 images
202: 23.543678, 25.000698 avg, 0.000002 rate, 5.838786 seconds, 12928 images
203: 23.379206, 24.838549 avg, 0.000002 rate, 5.986439 seconds, 12992 images
204: 29.056381, 25.260332 avg, 0.000002 rate, 6.129275 seconds, 13056 images
205: 22.491669, 24.983465 avg, 0.000002 rate, 5.972015 seconds, 13120 images
206: 20.992937, 24.584412 avg, 0.000002 rate, 6.275491 seconds, 13184 images
207: 22.199432, 24.345913 avg, 0.000002 rate, 6.270826 seconds, 13248 images
208: 26.902628, 24.601585 avg, 0.000002 rate, 6.063101 seconds, 13312 images
209: 28.874586, 25.028885 avg, 0.000002 rate, 6.322256 seconds, 13376 images
210: 20.522882, 24.578285 avg, 0.000002 rate, 6.101537 seconds, 13440 images
211: 22.488644, 24.369322 avg, 0.000002 rate, 4.212254 seconds, 13504 images
212: 20.404234, 23.972813 avg, 0.000002 rate, 3.770188 seconds, 13568 images
213: 21.917809, 23.767313 avg, 0.000002 rate, 3.720373 seconds, 13632 images
